name,tier,crystal_addr,⊢,⊣,>,<,⋈,⊤,∈,ɢ,⊙,Ħ,Σ,Ω
psychedelic_baseline,O_1,97920,1,1,1,3,1,5,1,1,1,1,1,1
ordinary_metal,O_1,98164,1,1,1,3,1,5,1,2,1,1,2,1
dark_matter,O_1,8762884,3,1,1,3,3,3,3,1,1,1,2,1
dark_sector_meet,O_1,8762884,3,1,1,3,3,3,3,1,1,1,2,1
hadron_gauge_meet,O_1,126724,1,1,1,3,3,5,1,1,1,1,2,1
universal_particle_meet,O_1,126724,1,1,1,3,3,5,1,1,1,1,2,1
one_way_speed_measurement,O_1,11111532,3,3,4,3,1,4,1,3,1,2,1,1
structural_baseline,O_0,12480,1,1,1,1,1,5,2,1,1,1,1,1
structural_baseline_wave,O_1,97920,1,1,1,3,1,5,1,1,1,1,1,1
calculus_baseline,O_1,97920,1,1,1,3,1,5,1,1,1,1,1,1
pre_transition_state,O_0,2817664,1,4,2,1,1,4,2,1,2,2,2,1
post_transition_state,O_0,17012961,4,5,3,4,3,3,1,4,2,3,3,2
hormone_replacement_therapy,O_0,4863908,2,1,3,3,2,4,3,3,2,2,3,1
optimal_biochemical_approach,O_0,17012961,4,5,3,4,3,3,1,4,2,3,3,2
teratoma,O_0,228920,1,1,2,1,1,5,2,2,3,1,3,1
extended_human_life,O_0,17012238,4,5,3,4,3,3,1,1,2,3,2,3
quark,O_0,2849280,1,4,2,1,3,5,2,1,1,1,1,1
lepton,O_0,2849280,1,4,2,1,3,5,2,1,1,1,1,1
photon,O_0,9372058,3,1,4,2,3,5,1,3,2,1,3,3
w_boson,O_0,9201168,3,1,3,3,3,5,3,3,2,1,1,1
z_boson,O_0,9244368,3,1,3,4,3,5,3,3,2,1,1,1
higgs_boson,O_0,6647829,2,3,3,4,3,4,1,4,2,2,3,2
inflaton,O_0,17012965,4,5,3,4,3,3,1,4,2,4,1,2
magnetic_monopole,O_0,11761970,3,4,3,3,1,5,1,1,2,1,1,3
sterile_neutrino,O_0,2844480,1,4,2,1,3,3,3,1,1,1,1,1
gluon,O_0,9242448,3,1,3,4,3,5,1,3,2,1,1,1
graviton,O_0,17012930,4,5,3,4,3,3,1,4,2,1,1,3
dark_energy,O_0,17012965,4,5,3,4,3,3,1,4,2,4,1,2
wimp,O_0,2844480,1,4,2,1,3,3,3,1,1,1,1,1
neutrino,O_0,2849280,1,4,2,1,3,5,2,1,1,1,1,1
biological_senescence,O_0,223228,1,1,2,1,1,3,2,3,1,3,2,1
anti_senescence,O_0,17017970,4,5,3,4,3,5,1,1,2,1,1,3
senolytic_therapy,O_0,228976,1,1,2,1,1,5,2,3,1,2,2,1
cryonic_preservation,O_0,2811877,1,4,2,1,1,2,2,1,1,4,1,2
quantum_biological_immortality,O_0,17017970,4,5,3,4,3,5,1,1,2,1,1,3
michael_levin_research,O_0,13501277,4,1,3,3,2,3,3,4,2,3,2,2
ferromagnetism,O_0,745025,1,1,4,3,1,4,3,1,2,2,2,2
antiferromagnetism,O_0,744065,1,1,4,3,1,4,2,1,2,2,2,2
ferrimagnetism,O_0,745029,1,1,4,3,1,4,3,1,2,2,3,2
paramagnetism,O_1,746884,1,1,4,3,1,5,2,1,1,1,2,1
