name,tier,crystal_addr,⊢,⊣,>,<,⋈,⊤,∈,∋,⊙,⊥,⊞,⊡
psychedelic_baseline,O_1,97920,-2.00,-2.00,-2.00,0.00,-1.00,2.00,-1.00,-2.00,-2.00,-2.00,-1.00,-2.00
ordinary_metal,O_1,98164,-2.00,-2.00,-2.00,0.00,-1.00,2.00,-1.00,-1.00,-2.00,-2.00,0.00,-2.00
dark_matter,O_1,8762884,1.00,-2.00,-2.00,0.00,1.00,0.00,1.00,-2.00,-2.00,-2.00,0.00,-2.00
dark_sector_meet,O_1,8762884,1.00,-2.00,-2.00,0.00,1.00,0.00,1.00,-2.00,-2.00,-2.00,0.00,-2.00
hadron_gauge_meet,O_1,126724,-2.00,-2.00,-2.00,0.00,1.00,2.00,-1.00,-2.00,-2.00,-2.00,0.00,-2.00
universal_particle_meet,O_1,126724,-2.00,-2.00,-2.00,0.00,1.00,2.00,-1.00,-2.00,-2.00,-2.00,0.00,-2.00
one_way_speed_measurement,O_1,11111532,1.00,0.00,2.00,0.00,-1.00,1.00,-1.00,1.00,-2.00,-1.00,-1.00,-2.00
structural_baseline,O_0,12480,-2.00,-2.00,-2.00,-2.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
structural_baseline_wave,O_1,97920,-2.00,-2.00,-2.00,0.00,-1.00,2.00,-1.00,-2.00,-2.00,-2.00,-1.00,-2.00
calculus_baseline,O_1,97920,-2.00,-2.00,-2.00,0.00,-1.00,2.00,-1.00,-2.00,-2.00,-2.00,-1.00,-2.00
pre_transition_state,O_0,2817664,-2.00,1.00,-1.00,-2.00,-1.00,1.00,0.00,-2.00,-1.00,-1.00,0.00,-2.00
post_transition_state,O_0,17012961,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,1.00,1.00,-1.00
hormone_replacement_therapy,O_0,4863908,-1.00,-2.00,1.00,0.00,0.00,1.00,1.00,1.00,-1.00,-1.00,1.00,-2.00
optimal_biochemical_approach,O_0,17012961,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,1.00,1.00,-1.00
teratoma,O_0,228920,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,0.00,-1.00,2.00,-2.00,1.00,-2.00
extended_human_life,O_0,17012238,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,1.00,0.00,1.00
quark,O_0,2849280,-2.00,1.00,-1.00,-2.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
lepton,O_0,2849280,-2.00,1.00,-1.00,-2.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
photon,O_0,9372058,1.00,-2.00,2.00,-1.00,1.00,2.00,-1.00,1.00,-1.00,-2.00,1.00,1.00
w_boson,O_0,9201168,1.00,-2.00,1.00,0.00,1.00,2.00,1.00,1.00,-1.00,-2.00,-1.00,-2.00
z_boson,O_0,9244368,1.00,-2.00,1.00,1.00,1.00,2.00,1.00,1.00,-1.00,-2.00,-1.00,-2.00
higgs_boson,O_0,6647829,-1.00,0.00,1.00,1.00,1.00,1.00,-1.00,2.00,-1.00,-1.00,1.00,-1.00
inflaton,O_0,17012965,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,-1.00,-1.00
magnetic_monopole,O_0,11761970,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,-2.00,-1.00,-2.00,-1.00,1.00
sterile_neutrino,O_0,2844480,-2.00,1.00,-1.00,-2.00,1.00,0.00,1.00,-2.00,-2.00,-2.00,-1.00,-2.00
gluon,O_0,9242448,1.00,-2.00,1.00,1.00,1.00,2.00,-1.00,1.00,-1.00,-2.00,-1.00,-2.00
graviton,O_0,17012930,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,-2.00,-1.00,1.00
dark_energy,O_0,17012965,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,-1.00,-1.00
wimp,O_0,2844480,-2.00,1.00,-1.00,-2.00,1.00,0.00,1.00,-2.00,-2.00,-2.00,-1.00,-2.00
neutrino,O_0,2849280,-2.00,1.00,-1.00,-2.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
biological_senescence,O_0,223228,-2.00,-2.00,-1.00,-2.00,-1.00,0.00,0.00,1.00,-2.00,1.00,0.00,-2.00
anti_senescence,O_0,17017970,2.00,2.00,1.00,1.00,1.00,2.00,-1.00,-2.00,-1.00,-2.00,-1.00,1.00
senolytic_therapy,O_0,228976,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-1.00,0.00,-2.00
cryonic_preservation,O_0,2811877,-2.00,1.00,-1.00,-2.00,-1.00,-1.00,0.00,-2.00,-2.00,2.00,-1.00,-1.00
quantum_biological_immortality,O_0,17017970,2.00,2.00,1.00,1.00,1.00,2.00,-1.00,-2.00,-1.00,-2.00,-1.00,1.00
michael_levin_research,O_0,13501277,2.00,-2.00,1.00,0.00,0.00,0.00,1.00,2.00,-1.00,1.00,0.00,-1.00
ferromagnetism,O_0,745025,-2.00,-2.00,2.00,0.00,-1.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
antiferromagnetism,O_0,744065,-2.00,-2.00,2.00,0.00,-1.00,1.00,0.00,-2.00,-1.00,-1.00,0.00,-1.00
ferrimagnetism,O_0,745029,-2.00,-2.00,2.00,0.00,-1.00,1.00,1.00,-2.00,-1.00,-1.00,1.00,-1.00
paramagnetism,O_1,746884,-2.00,-2.00,2.00,0.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
diamagnetism,O_1,746884,-2.00,-2.00,2.00,0.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
spin_glass,O_0,654940,-2.00,-2.00,2.00,-2.00,-1.00,0.00,0.00,-2.00,2.00,1.00,0.00,-2.00
skyrmion,O_0,5076550,-1.00,-2.00,2.00,0.00,0.00,0.00,1.00,-2.00,-1.00,-1.00,1.00,1.00
standard_proof_system,O_1,7270080,-1.00,1.00,-1.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
hodge_conjecture,O_0,16638344,2.00,2.00,-1.00,-2.00,-1.00,0.00,-1.00,1.00,0.00,-2.00,1.00,-2.00
p_vs_np,O_0,2928,-2.00,-2.00,-2.00,-2.00,-1.00,-1.00,-1.00,-2.00,-1.00,-2.00,-1.00,-2.00
navier_stokes,O_0,9080708,1.00,-2.00,1.00,-2.00,-1.00,1.00,-1.00,-2.00,-1.00,-1.00,1.00,-2.00
penrose_black_hole,O_0,17015854,2.00,2.00,1.00,1.00,1.00,1.00,-1.00,2.00,-1.00,2.00,1.00,1.00
topological_critical_material,O_0,17015853,2.00,2.00,1.00,1.00,1.00,1.00,-1.00,2.00,-1.00,2.00,1.00,-1.00
quantum_hall_critical,O_0,17015854,2.00,2.00,1.00,1.00,1.00,1.00,-1.00,2.00,-1.00,2.00,1.00,1.00
penrose_material_imscription,O_0,17015854,2.00,2.00,1.00,1.00,1.00,1.00,-1.00,2.00,-1.00,2.00,1.00,1.00
relational_existence,O_0,9095824,1.00,-2.00,1.00,-2.00,0.00,1.00,-1.00,2.00,-1.00,-1.00,0.00,-2.00
